nhood,Coding,Population,Married,Divorced,Widowed,Persons_with_a_migration_background,Non_Western,Morocco,Netherlands_Antilles_and_Aruba,Suriname,Turkey,Othernon-Western,Householdincome,Crime,"Vandalism,crimeagainstpublicorder",Violentandsexualcrimes,PostalCode,cafe_Within_1_km,cafe_Within_3_km,cafe_Within_5_km,distance_to_Cafeterias_km,cafeterias_Within_1_km,cafeterias_Within_3_km,cafeterias_Within_5_km,distance_to_Restaurants,restaurants_Within_1_km,restaurants_Within_3_km,restaurants_Within_5_km,hotels_Within_5_km,hotels_Within_10_5km,hotels_Within_20km,Distance_to_main_road_entrance,Distance_to_train_station,Distance_to_important_transfer_station
Lutkemeer/Ookmeer,WK036380,430,335,70,40,105,120,25,0,25,30,30,34.8,9,13,29,.,0.50,9.50,35.60,1.10,1.10,34.70,104.20,1.20,0.90,29.40,102.50,14.70,328.90,529.70,2.10,3.90,5.60
Alsomore,BU03638000,10,0,5,0,5,5,5,0,0,5,0,.,.,.,.,1067,1.00,15.90,65.60,1.00,1.00,52.00,161.30,0.90,1.00,48.90,165.20,25.90,403.90,520.90,2.20,3.70,4.40
OsdorperBovenpolder,BU03638001,390,310,60,35,105,105,25,5,25,25,30,35.9,5,0,6,1067,0.30,7.40,24.70,1.20,1.20,29.00,83.90,1.20,0.90,22.70,79.70,10.60,307.20,534.20,2.00,3.90,6.00
Lutkemeerbusinesspark,BU03638002,35,15,5,10,0,10,0,0,5,0,0,.,33,67,33,1060,0.20,3.30,17.60,0.90,1.20,18.90,65.00,1.90,0.30,13.30,62.80,7.70,218.80,518.90,2.40,5.40,7.20
Osdorp-Oost,WK036381,8590,5085,1685,945,2375,7995,3340,160,1085,1670,1740,24,8,5,7,.,2.60,14.60,91.70,0.40,12.40,62.50,188.80,0.30,13.40,62.20,283.40,35.30,419.00,519.50,2.90,2.50,5.30
Wildeman,BU03638100,2550,1530,585,340,525,3125,1480,45,360,590,655,19.9,8,6,11,1068,2.70,14.00,74.40,0.30,10.10,58.00,163.80,0.30,13.30,53.50,209.60,28.70,411.30,521.50,3.20,3.00,5.10
LakeandShore,BU03638101,1635,1030,315,155,585,1310,500,25,160,330,290,30.4,5,2,3,1068,2.80,16.20,96.00,0.70,7.40,64.70,193.30,0.30,11.20,61.60,263.30,31.10,415.40,519.80,3.00,2.80,4.70
Osdorppleinandsurroundingareas,BU03638102,1605,950,290,125,385,1745,840,25,215,315,345,25.1,4,7,10,1068,3.00,13.80,81.20,0.30,22.30,60.20,168.00,0.30,20.80,59.30,263.60,29.20,421.30,519.00,2.90,2.40,5.70
Calandlaan/Lelylaan,BU03638103,650,405,135,60,200,555,175,15,90,180,95,24.1,14,6,10,1068,2.20,13.20,90.00,0.40,17.10,61.60,184.70,0.40,15.40,63.40,301.70,32.90,423.10,517.80,2.80,2.30,5.90
OsdorpSouthEast,BU03638104,2155,1165,360,265,680,1265,345,55,265,245,360,23.5,12,5,3,1068,2.30,15.30,119.00,0.30,9.60,68.70,234.50,0.30,8.60,75.50,401.40,52.40,428.20,517.90,2.30,1.90,5.70
Osdorp-Middle,WK036382,9075,4975,1385,615,1960,10450,4505,180,1230,2635,1900,24,5,3,5,.,1.90,11.50,49.30,0.30,13.30,54.40,130.40,0.30,12.60,53.30,180.50,24.80,413.60,520.00,3.00,3.10,6.20
OsdorpMiddenNoord,BU03638200,1720,950,275,245,215,2335,1185,40,225,545,335,19.9,5,6,4,1069,2.30,11.20,43.10,0.60,9.70,47.50,120.70,0.60,8.40,42.40,126.80,22.90,404.00,522.30,3.30,3.60,5.50
OsdorpCentralSouth,BU03638201,1900,1085,335,115,410,2275,1050,30,225,525,445,23,3,3,6,1069,3.20,9.10,42.60,0.30,18.40,48.60,120.10,0.30,13.90,44.10,154.70,22.40,408.70,521.90,3.40,3.20,6.00
SouthwestquadrantOsdorpNorth,BU03638202,1790,985,290,125,410,2135,875,35,235,600,385,22.7,6,2,5,1069,2.40,10.30,47.50,0.30,18.90,54.80,128.40,0.30,17.00,53.50,183.10,24.30,414.60,520.50,3.10,3.10,6.30
SouthwestquadrantOsdorpSouth,BU03638203,3665,1955,485,120,930,3710,1395,75,550,960,730,27.3,6,2,5,1069,0.70,13.50,56.70,0.20,9.20,60.50,141.50,0.20,11.60,63.30,218.10,27.40,420.20,517.70,2.60,2.90,6.50
Thepoint,WK036383,3485,1805,550,230,925,3290,1065,70,490,880,785,22.8,10,6,8,.,2.10,8.00,26.90,0.30,11.10,43.40,95.00,0.40,6.30,40.00,101.70,17.10,396.60,520.00,2.90,3.80,6.60
Thepoint,BU03638300,3395,1800,530,230,915,3230,1050,60,465,880,775,23.3,10,4,7,1069,2.10,8.00,26.80,0.30,11.20,43.50,95.00,0.40,6.30,40.10,101.70,17.20,396.80,519.90,2.90,3.80,6.60
BusinesscenterOsdorp,BU03638301,90,5,15,0,15,60,15,10,30,0,10,10.3,0,109,82,1069,2.00,8.00,27.00,0.30,7.00,42.00,95.00,0.20,3.00,36.00,97.00,14.00,387.00,521.00,2.90,4.30,6.10
MiddelveldscheAkerpolder,WK036384,7355,5685,1060,425,1750,6345,2000,120,1345,1450,1435,31.8,10,4,4,.,0.60,8.30,22.90,0.70,2.80,44.40,81.90,0.70,2.40,41.20,93.20,14.30,376.90,517.80,2.60,4.10,7.30
MiddelveldscheAkerpolder,BU03638400,1920,1490,330,160,455,1720,730,25,280,355,320,26.6,12,3,3,1069,1.90,7.80,22.80,0.70,5.20,42.90,81.30,0.70,2.60,39.30,88.80,13.60,375.90,518.20,2.50,4.20,7.10
TheAkerWest,BU03638401,2275,1830,340,135,570,1910,455,55,440,420,540,33.6,9,4,4,1060,0.30,7.40,18.70,0.90,1.20,41.10,70.30,1.00,0.70,36.80,77.10,10.90,343.30,519.30,2.20,4.40,7.60
TheAkerEast,BU03638402,3160,2370,390,125,725,2720,810,40,625,670,570,34.2,9,4,4,1060,0.10,9.30,26.30,0.60,2.50,47.90,91.30,0.50,3.70,46.00,108.60,17.20,403.40,516.20,2.90,3.70,7.30
SlotervaartNorth,WK036385,4345,2545,720,380,1265,3585,1405,40,465,900,765,25.8,7,4,7,.,3.30,81.30,313.60,0.40,9.30,143.50,495.10,0.30,13.20,217.40,903.40,187.00,435.90,520.00,1.40,1.20,4.40
EastbankofSloterplas,BU03638500,1170,985,185,150,400,705,150,10,200,170,175,32.7,7,1,2,1064,2.70,96.50,371.20,0.60,6.00,154.60,567.70,0.50,8.60,226.70,1026.00,215.50,438.30,518.90,1.40,1.60,3.90
EmanuelvanMeterenbuurt,BU03638501,1200,665,215,160,445,710,275,5,80,175,180,26.7,6,4,8,1065,2.90,55.90,251.20,0.20,9.40,118.60,402.80,0.30,14.20,171.40,753.80,152.60,434.10,520.40,1.50,0.90,4.90
JacobGeelbuurt,BU03638502,1985,900,325,75,430,2170,980,30,190,555,410,19.9,8,7,9,1065,3.90,87.00,313.00,0.30,11.80,152.00,503.30,0.20,16.00,241.60,912.80,189.10,435.30,520.50,1.30,1.00,4.50
OvertoomseField,WK036386,9120,3175,760,305,2325,7100,3530,105,570,1375,1520,24.8,3,4,8,.,3.80,125.90,544.60,0.30,10.30,200.80,775.00,0.50,8.30,357.00,1403.00,308.20,439.80,520.00,0.90,1.50,3.80
OvertoomseVeldNoord,BU03638600,3620,1805,405,115,565,4140,2355,35,255,935,560,25.1,2,3,5,1061,3.10,127.90,545.20,0.40,9.00,204.90,768.80,0.60,6.30,356.60,1390.00,308.10,440.70,520.10,1.00,1.70,3.60
OvertoomseVeldZuid,BU03638601,2790,885,210,85,605,1875,885,50,235,240,465,25.5,4,5,9,1062,2.60,119.90,531.80,0.20,9.20,193.40,769.80,0.30,8.60,350.90,1392.00,303.60,438.30,520.00,0.90,1.10,4.10
RembrandtParkNorth,BU03638602,805,95,50,5,330,130,15,10,15,5,85,21,2,6,17,1057,11.50,154.10,621.10,0.50,21.90,233.60,873.00,0.60,17.30,450.80,1586.00,349.80,441.00,520.40,1.10,1.80,3.70
RembrandtParkSouth,BU03638603,615,175,25,20,235,140,10,5,20,10,100,32.3,2,5,1,1058,2.60,138.50,616.50,0.60,12.10,214.10,869.40,0.70,8.50,422.20,1578.00,344.80,438.60,520.00,0.90,1.10,4.20
JohanJongkindbuurt,BU03638604,415,210,75,75,50,570,255,0,35,175,100,19,3,7,3,1062,3.00,105.30,421.00,0.50,10.60,172.60,664.50,0.30,12.20,303.10,1217.00,250.50,437.50,519.70,0.60,0.90,4.30
Lucas/Andreasziekenhuisandsurroundingareas,BU03638605,870,10,5,0,535,245,10,5,10,10,205,18.1,.,3,17,1061,6.90,118.20,557.00,0.20,9.70,187.70,750.70,0.40,8.00,290.30,1352.00,302.90,442.00,519.70,0.30,2.40,2.90
Westlandgracht,WK036387,7260,1970,665,155,2355,3850,1040,155,400,565,1690,26.3,5,5,13,.,3.50,71.00,371.00,0.40,10.30,129.70,593.40,0.40,15.30,267.20,1151.00,220.50,436.70,521.60,0.80,1.50,3.70
KoninginWilhelminaplein,BU03638700,1575,570,120,25,705,580,50,30,40,50,415,36.2,7,5,3,1062,2.00,75.00,360.00,0.30,9.70,133.10,586.40,0.30,14.00,262.40,1132.00,216.90,435.60,521.70,0.90,1.20,3.70
Andreassite,BU03638701,775,415,90,25,290,455,190,15,45,85,125,40.7,4,8,8,1058,6.90,141.00,584.20,0.50,7.40,213.40,849.30,0.50,23.00,464.80,1576.00,334.40,438.60,521.90,0.50,1.00,3.50
DelflandpleinneighborhoodEast,BU03638702,1060,265,160,35,265,750,270,25,115,125,220,23.2,12,13,41,1059,5.90,63.30,384.30,0.50,15.30,122.70,600.90,0.40,24.20,253.80,1196.00,228.00,437.60,520.40,1.00,1.90,3.30
DelflandpleinneighborhoodWest,BU03638703,2400,670,290,65,720,1445,500,50,165,275,460,23.2,3,4,12,1062,3.30,49.20,316.30,0.40,10.20,102.00,526.50,0.40,12.50,216.00,1043.00,188.20,436.70,522.00,0.80,1.80,3.60
Riekerhaven,BU03638704,545,25,0,0,30,355,15,5,20,5,310,14.3,5,2,14,1062,0.00,27.60,214.00,0.30,2.00,64.00,383.10,0.90,1.30,138.10,765.30,134.50,433.40,520.00,0.70,2.50,4.20
Schipluidenbuurt,BU03638705,915,25,0,0,335,260,20,30,25,25,165,16.6,1,1,1,1062,2.70,89.40,405.00,0.30,12.20,163.50,645.40,0.40,13.60,314.00,1216.00,244.30,437.00,521.90,0.50,1.00,4.10
Sloter/Riekerpolder,WK036388,7115,5325,1060,500,2345,3945,970,130,895,690,1260,32.7,8,3,4,.,0.10,13.50,63.30,0.70,1.60,58.30,155.10,0.60,2.20,67.50,262.60,37.10,426.40,518.30,1.20,2.90,5.70
Riekerpolder,BU03638800,60,15,0,0,30,40,0,0,0,5,40,.,14,14,43,1066,0.00,12.70,79.30,0.40,1.30,42.40,182.20,0.50,1.60,61.90,327.10,54.40,429.80,518.70,1.50,2.60,5.20
ParkHaagseweg,BU03638801,455,405,55,20,190,165,15,10,35,15,85,41.1,5,0,0,1066,0.00,14.50,82.40,0.80,1.00,44.20,188.60,0.50,1.50,60.60,329.80,53.40,429.70,518.80,1.40,2.50,5.20
NewMore,BU03638802,125,30,10,0,35,5,0,5,0,0,0,.,42,18,36,1066,0.00,2.60,25.10,1.80,0.00,9.00,88.60,0.60,1.10,18.40,122.10,18.80,403.80,516.70,1.10,4.50,6.40
Sloterwegandsurroundingareas,BU03638803,130,105,10,15,35,50,0,0,15,10,30,41.7,16,4,4,1066,0.10,9.60,43.80,0.80,1.70,39.50,124.80,0.50,3.00,47.70,206.70,28.50,425.70,518.70,0.80,3.50,6.00
NieuwSlotenNorthwest,BU03638804,1560,1210,265,105,455,1195,420,35,265,185,290,31.6,5,2,3,1066,0.00,12.40,51.40,0.70,2.00,60.60,137.90,0.60,2.00,63.70,232.20,30.10,423.90,517.80,1.40,3.00,6.00
NieuwSlotenNortheast,BU03638805,1465,1305,235,155,450,910,210,30,180,215,280,30.6,6,3,3,1066,0.10,17.70,88.10,1.00,0.90,69.80,194.10,1.00,1.40,85.10,325.20,47.90,429.00,518.10,1.50,2.40,5.30
Belgiëpleinandsurroundingareas,BU03638806,475,350,130,105,265,305,55,15,65,50,130,29,7,9,6,1066,0.00,13.40,60.80,0.20,2.00,60.30,150.00,0.20,2.30,69.10,266.90,35.80,429.20,518.50,0.90,2.90,5.60
NieuwSlotenSouthwest,BU03638807,1230,970,140,25,400,585,75,15,195,90,210,37.9,8,1,2,1066,0.00,10.20,42.50,0.50,1.80,51.50,119.30,0.40,2.00,51.80,200.50,25.40,424.80,518.30,1.00,3.40,6.20
NieuwSlotenZuidoost,BU03638808,1280,660,155,40,405,645,195,20,135,120,180,30.3,7,2,6,1066,0.00,14.60,75.30,0.60,2.10,61.80,175.70,0.50,2.90,79.40,307.20,45.20,430.80,519.20,0.90,2.60,5.40
VillageSloten,BU03638809,345,275,65,35,85,45,5,5,5,5,20,34.5,20,7,7,1066,1.00,9.00,27.70,0.40,2.20,43.90,94.60,0.30,4.90,46.20,128.20,17.50,412.50,517.70,1.50,4.10,6.70
SlotervaartSouth,WK036389,6375,2775,950,450,1680,5305,2300,110,685,845,1365,22.2,8,6,12,.,2.70,40.10,233.20,0.30,11.00,97.70,412.80,0.30,11.20,174.40,788.40,145.20,434.00,521.10,1.30,1.30,4.40
LouisCrispijnbuurt,BU03638900,1755,925,355,205,515,1540,645,30,260,275,330,22.8,7,3,9,1065,3.40,35.40,214.40,0.30,13.20,95.10,365.90,0.40,14.10,155.30,697.40,135.00,433.00,520.40,1.50,1.00,4.80
JacquesVeldmanneighborhood,BU03638901,2215,970,290,120,715,1640,665,30,175,270,510,23.9,12,6,8,1065,3.10,53.60,277.20,0.20,13.40,115.40,478.70,0.30,14.00,211.20,911.20,167.10,435.50,521.50,1.10,1.00,4.30
Staalmanbuurt,BU03638902,1690,825,250,105,320,1830,920,35,220,275,385,24,4,7,22,1066,2.10,33.40,226.70,0.10,7.70,84.80,416.10,0.40,6.80,165.10,807.50,140.20,433.80,521.20,1.20,1.60,4.20
MedicalCenterSlotervaart,BU03638903,715,55,50,15,130,295,75,20,35,25,145,12.3,4,12,6,1066,0.70,24.40,137.30,0.50,4.30,78.50,294.30,0.10,4.70,123.00,533.00,107.10,431.50,521.70,1.20,1.80,4.60
Buitenveldert-West,WK036390,7275,3925,1240,930,3605,3045,225,135,500,205,1980,35.1,5,3,4,.,1.20,13.60,162.50,0.40,9.70,76.00,334.80,0.30,15.70,149.40,749.50,135.90,438.00,503.00,1.50,2.00,2.00
Gelderlandpleinneighborhood,BU03639000,2520,1330,385,320,1310,1060,105,35,185,70,665,34,2,2,4,1082,1.00,19.90,254.80,0.30,18.40,94.50,440.00,0.30,22.50,198.10,1005.00,201.20,440.50,503.00,1.30,1.40,1.40
BuitenveldertCentralSouth,BU03639002,2295,995,295,125,975,1060,90,45,135,70,725,30.6,5,3,3,1082,0.50,8.00,120.70,0.30,6.40,62.50,293.50,0.20,15.60,110.00,657.20,115.50,437.30,500.30,1.90,2.10,2.10
BuitenveldertSouthwest,BU03639003,1970,1195,470,390,995,790,30,45,160,45,510,32.4,7,2,4,1081,2.40,10.80,91.70,0.60,3.30,67.00,246.40,0.30,9.30,129.30,534.40,80.80,436.50,503.50,1.50,2.50,2.50
Amsterdamforest,BU03639004,45,15,10,0,15,5,0,0,0,0,5,.,14,29,14,1081,0.00,13.20,111.10,1.30,0.10,53.70,249.10,0.80,0.50,94.90,544.60,91.70,416.10,509.00,1.10,3.20,3.30
BuitenveldertWestCentral,BU03639008,445,385,80,80,310,120,5,10,20,15,75,69.9,16,2,1,1081,0.70,17.50,186.80,0.40,9.80,80.20,372.30,0.30,11.50,158.40,811.40,140.60,437.50,510.20,1.00,1.90,1.90
Zuiderhof,BU03639009,10,0,0,0,5,0,0,0,0,0,0,.,.,.,.,1081,1.70,33.70,275.30,0.40,8.70,98.00,478.50,0.60,9.80,210.20,1044.00,186.10,441.70,516.00,0.10,2.00,2.00
Buitenveldert-East,WK036391,4135,2290,800,645,2020,2050,190,80,280,160,1335,33,5,3,6,.,0.10,17.80,215.50,0.40,7.70,87.20,394.60,0.30,13.80,161.70,889.00,184.60,440.40,499.30,1.00,1.40,1.90
TheKlenckebuurt,BU03639100,320,260,95,100,205,165,5,10,30,15,105,36.4,3,1,1,1083,0.00,27.40,300.40,0.50,8.70,110.60,480.00,0.40,13.70,212.20,1074.00,226.40,443.00,500.50,0.90,1.10,1.50
BuitenveldertEastCentral,BU03639101,1660,960,365,235,685,955,100,45,155,90,570,29.3,4,3,7,1083,0.10,27.60,289.10,0.60,9.80,107.50,468.70,0.30,12.70,195.80,1062.00,226.00,443.60,500.20,0.70,1.00,1.60
BuitenveldertSouthEast,BU03639102,2150,1060,345,315,1130,925,85,30,95,60,650,35.6,6,3,5,1083,0.00,7.90,138.10,0.30,5.80,66.00,316.80,0.20,14.70,123.70,710.50,142.30,437.30,498.30,1.40,1.70,2.20
AmstelPark,BU03639103,10,5,0,0,0,5,0,0,0,0,5,.,.,.,.,1083,0.00,8.20,142.70,0.30,4.20,39.50,293.80,1.10,1.30,83.80,618.00,116.10,428.40,495.80,2.10,2.40,3.70
AmstelIII/Bullewijk,WK036392,650,55,10,5,165,275,40,30,55,25,125,16.5,7,93,186,.,0.10,5.70,13.80,0.40,6.20,30.00,81.70,0.60,4.70,29.80,75.00,15.80,183.30,488.30,0.80,0.90,9.10
MaincenterSouthEast,BU03639200,15,0,0,0,10,5,0,0,0,5,5,.,.,.,.,1101,1.10,6.10,22.20,0.10,8.70,66.20,106.90,0.40,7.90,50.90,108.20,18.90,403.10,496.30,1.00,1.40,7.10
AmstelIIIpartA/BNorth,BU03639201,80,30,0,0,55,40,0,0,5,5,35,.,0,181,210,1101,0.60,7.50,19.40,0.40,7.10,66.50,99.70,0.50,7.90,54.00,99.20,20.10,369.80,495.90,0.90,1.40,7.80
AmstelIIIpartC/DNorth,BU03639202,40,10,0,0,35,15,0,0,0,0,15,.,.,100,160,1101,0.90,5.50,23.00,0.60,6.70,60.30,107.20,0.70,6.80,50.70,108.50,19.80,398.30,495.40,0.70,1.80,7.10
AmstelIIIpartA/BSouth,BU03639203,390,5,5,0,45,145,20,20,40,10,50,11.5,8,3,13,1105,0.00,5.90,13.50,0.30,7.30,25.30,86.50,0.50,5.20,27.50,74.00,15.70,161.80,487.40,0.70,0.60,9.30
AmstelIIIpartC/DSouth,BU03639204,0,0,0,5,5,0,0,0,0,0,0,.,.,.,.,1105,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
AMC,BU03639205,35,0,0,0,10,20,5,5,5,0,5,.,.,.,.,1105,0.00,5.20,10.70,0.60,3.10,18.20,63.30,0.70,2.70,22.90,62.30,14.40,108.20,485.40,0.80,1.60,9.70
HighDijk,BU03639206,85,10,0,0,10,40,15,0,15,0,10,.,10,110,150,1105,0.00,4.30,9.70,0.80,2.30,18.30,53.60,0.80,1.40,20.00,58.20,13.30,103.20,485.70,1.00,1.50,10.00
"BijlmerCenter(D,F,H)",WK036393,17380,3555,2955,385,2790,17345,660,1375,7320,430,7555,20.2,6,5,15,.,0.40,9.70,23.30,0.70,7.10,70.70,111.90,0.50,6.40,61.10,116.10,19.10,354.60,491.70,1.90,1.20,8.20
VenserpolderWest,BU03639300,3515,725,835,145,570,3670,155,300,1645,110,1455,21.3,6,6,11,1102,0.60,8.80,26.70,0.60,3.20,70.60,121.20,0.50,5.90,60.30,132.00,21.20,403.70,494.00,1.90,1.10,7.60
VenserpolderEast,BU03639301,2325,575,465,60,390,2395,120,150,1080,80,970,22,6,6,9,1102,0.20,10.90,28.00,0.30,5.30,74.70,134.60,0.50,5.80,72.40,151.00,23.10,407.50,492.10,2.40,0.90,7.50
D-neighborhood,BU03639302,1900,60,55,5,505,940,20,165,290,20,445,12.5,3,6,12,1102,1.00,10.60,26.30,0.40,22.30,75.10,126.90,0.40,4.80,69.70,135.20,23.40,401.90,493.00,2.00,1.50,7.80
Fneighborhood,BU03639303,2615,795,345,45,285,2960,115,180,1595,90,985,25.3,3,2,6,1102,0.40,11.00,22.60,1.00,1.30,72.10,109.20,0.50,4.50,61.30,112.00,19.70,392.60,492.90,1.70,1.00,8.40
AmsterdamGate,BU03639304,1175,115,240,25,290,1080,30,115,515,20,405,17.3,8,21,85,1102,0.40,7.90,19.60,0.30,15.10,65.70,97.30,0.20,11.10,53.70,93.60,15.90,285.50,488.70,2.00,1.30,8.60
Hoptille,BU03639305,1250,205,160,15,175,1165,50,120,410,30,555,17.6,6,4,7,1102,1.00,10.20,20.90,0.50,21.80,76.70,101.50,0.50,18.90,57.90,103.00,16.70,320.20,491.90,1.70,1.00,8.50
StraightHneighborhood,BU03639306,2145,445,475,45,230,2540,65,160,795,30,1490,20.2,2,3,10,1102,0.30,8.00,20.50,0.80,9.90,67.00,98.10,0.40,7.70,53.70,95.30,15.40,305.60,489.20,1.60,1.50,8.90
Hakfort/Huigenbos,BU03639307,1895,345,290,25,220,1930,105,140,600,35,1065,18.7,14,3,11,1102,0.00,9.10,16.50,1.00,0.20,62.00,90.70,0.60,1.60,56.00,81.20,13.40,203.00,487.50,1.60,1.70,9.30
Huntum,BU03639308,100,85,10,10,45,80,0,5,45,0,30,.,29,20,5,1102,0.00,9.60,16.80,1.20,0.00,62.10,91.50,0.70,1.00,58.10,84.40,13.00,209.00,488.00,1.60,1.70,9.40
Birdmeadow,BU03639309,460,195,80,15,75,585,10,35,350,25,165,26.4,13,1,3,1102,0.00,11.00,22.20,1.20,0.00,75.60,108.30,0.60,1.20,60.90,107.90,19.70,392.70,493.00,1.60,1.20,8.40
NelsonMandelaPark,BU03639310,0,0,0,0,0,0,0,0,0,0,0,.,,,,1102,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"BijlmerEast(E,G,K)",WK036394,18900,5425,3875,635,2980,19630,635,1530,8950,330,8190,22.6,7,3,10,.,1.00,6.50,18.80,0.70,3.50,39.50,97.00,0.60,2.80,33.90,97.20,13.20,272.10,484.60,1.50,2.70,9.50
E-neighborhood,BU03639400,1520,460,120,5,255,1375,60,95,735,80,400,25,4,3,7,1103,0.90,11.40,23.00,0.90,14.70,49.80,118.90,0.60,2.30,55.60,127.80,21.20,397.80,492.60,2.30,1.30,8.00
G-buurtWest,BU03639401,2485,770,445,55,410,2815,60,215,1550,35,960,25,9,5,10,1103,0.80,8.50,21.30,0.50,4.00,67.30,106.00,0.40,3.90,56.60,104.30,15.80,387.70,491.90,1.90,1.80,8.60
BijlmerMuseumNorth,BU03639402,1450,340,440,60,200,1790,35,145,580,10,1020,19,4,1,10,1103,1.00,6.80,20.80,0.50,4.00,49.60,96.80,0.30,4.00,37.40,97.20,12.60,365.10,489.40,2.00,2.30,9.10
Kortvoort,BU03639403,1710,325,475,115,220,1875,60,235,935,25,625,19.4,8,1,12,1104,0.40,8.90,20.50,0.90,2.90,56.40,98.90,0.90,2.40,43.80,99.10,13.30,349.50,489.60,1.30,2.50,9.30
Kelbergen,BU03639404,595,250,125,30,90,630,10,45,340,10,230,22.7,19,7,5,1104,1.10,6.00,17.70,0.80,2.40,38.20,96.50,0.80,2.30,29.10,96.00,12.10,209.50,480.00,1.30,3.10,9.90
K-neighborhoodCentral,BU03639405,1725,300,320,20,190,1760,100,105,600,20,940,20.2,8,7,28,1104,2.00,6.50,18.50,0.30,3.00,39.70,97.80,0.30,3.00,34.10,97.50,12.50,230.60,483.90,0.70,3.00,9.80
K-neighborhoodSouthEast,BU03639406,725,225,80,10,75,805,20,75,340,15,350,26.1,3,2,3,1104,1.90,3.10,15.20,0.70,2.90,8.20,88.40,0.70,2.80,14.70,85.10,11.60,135.20,478.20,0.70,3.60,10.40
K-neighborhoodSouthwest,BU03639407,985,325,135,25,85,1170,40,80,625,30,390,24.7,4,1,6,1104,2.00,4.90,17.40,0.60,3.00,26.70,94.90,0.60,3.00,25.90,94.30,12.20,193.40,480.60,0.80,3.20,10.00
Grunder/Koningshoef,BU03639408,1185,370,185,10,125,1385,50,90,805,30,405,25,4,3,11,1103,1.30,5.00,19.50,0.70,3.10,32.10,93.80,0.60,4.10,22.40,94.40,11.80,277.50,483.80,1.30,2.70,9.60
G-buurtOost,BU03639409,1650,925,410,155,570,1000,30,65,515,30,360,27.9,5,2,3,1103,0.00,3.50,14.10,1.50,0.10,15.40,80.50,0.60,1.50,10.80,81.20,10.00,156.70,476.20,2.30,3.40,10.30
Kantershof,BU03639410,1180,540,390,95,270,1235,20,90,615,20,495,23,10,2,4,1104,0.20,3.10,16.00,1.20,0.40,9.40,88.00,1.20,0.50,11.30,86.70,10.80,136.10,476.10,1.50,3.50,10.40
Gooisekant,BU03639411,90,45,10,0,10,95,5,10,55,5,25,.,14,0,7,1104,0.40,10.70,20.50,1.00,1.20,68.80,98.70,1.00,1.40,50.00,99.00,13.30,343.50,489.60,0.80,2.50,9.30
G-neighborhoodNorth,BU03639412,1335,175,300,10,80,1585,45,130,630,5,775,18,9,7,15,1103,1.00,9.10,21.10,0.20,4.00,54.00,101.10,0.30,4.00,49.80,100.40,13.60,377.70,490.10,2.20,2.00,8.90
BijlmerMuseumSouth,BU03639413,2265,375,450,30,400,2105,75,160,635,15,1215,20,10,2,8,1104,2.00,5.30,17.20,0.30,3.00,34.10,96.70,0.30,3.00,28.80,96.00,12.00,200.00,480.30,0.80,3.20,10.00
Nellestein,WK036395,1700,685,395,145,535,955,30,75,365,30,460,28.6,7,3,7,.,0.20,7.00,14.20,1.50,0.00,23.10,89.50,1.50,0.00,23.30,77.20,11.90,140.70,479.70,0.60,3.00,10.40
Lneighborhood,BU03639500,1670,670,390,145,525,945,25,75,360,30,455,28.5,7,3,5,1108,0.20,7.00,14.20,1.50,0.00,23.40,90.40,1.50,0.00,23.40,77.50,12.00,142.50,479.70,0.60,3.00,10.30
Gaasperpark,BU03639501,10,5,10,0,0,5,0,0,0,0,0,.,.,.,.,1108,0.30,3.30,20.00,1.50,0.00,6.90,88.10,0.40,1.50,8.40,96.30,10.20,75.60,482.70,0.20,4.20,11.10
Gaasperplas,BU03639502,25,10,5,0,5,5,0,0,5,0,5,.,.,.,.,1108,0.00,6.60,10.20,0.60,1.00,11.20,23.80,0.80,1.00,24.90,41.60,3.00,35.00,478.40,0.10,3.20,12.50
Holendrecht/Reigersbos,WK036396,11215,4015,2435,600,1685,11355,420,915,5900,155,3965,23.1,7,4,10,.,1.70,5.80,11.90,0.80,2.20,24.20,80.50,0.70,2.60,23.10,69.80,14.40,73.90,485.00,1.90,1.50,10.60
HolendrechtWest,BU03639600,1940,370,490,125,170,2105,70,190,1130,25,695,18.8,4,8,16,1106,1.20,6.60,13.80,0.80,2.60,34.60,86.60,0.50,2.40,32.80,74.20,14.60,104.20,486.40,1.70,0.70,9.90
ReigersbosNoord,BU03639601,2940,675,650,105,260,3355,120,335,1575,55,1270,20.7,9,3,10,1106,1.00,5.60,12.40,0.70,2.40,25.60,85.40,0.70,1.80,25.10,72.50,14.60,78.20,486.20,1.70,0.90,10.30
HolendrechtEast,BU03639602,1155,990,220,115,320,1030,35,80,610,15,285,29.1,8,3,6,1106,1.90,6.70,13.40,1.10,0.80,40.10,86.10,0.70,2.80,37.30,73.80,14.40,94.70,486.70,1.90,1.10,10.20
GaasperdamNorth,BU03639603,1390,350,260,30,230,1265,60,75,645,20,465,24.1,5,3,22,1106,2.90,6.50,11.70,0.50,3.70,16.40,85.10,0.50,3.80,18.50,74.60,14.80,86.40,482.80,1.40,1.70,10.80
GaasperdamSouth,BU03639604,920,230,235,65,165,850,20,60,420,5,340,22.8,3,3,9,1107,2.80,5.00,11.00,0.50,2.80,12.90,80.60,0.40,3.80,12.80,66.30,14.10,50.60,480.10,2.00,2.20,11.40
