zipcode,near_ATTRAC,near_museum,near_Performing_arts
2512,2.2,0.7,0.6
2513,2.8,0.8,0.4
2514,2.0,0.4,0.4
2515,1.4,1.1,0.8
2516,1.3,1.5,1.8
2517,2.6,0.9,1.0
2518,2.7,1.0,0.7
2521,0.7,1.8,1.2
2522,1.0,1.1,1.4
2523,1.6,1.5,0.7
2524,2.0,1.9,0.6
2525,1.7,1.8,1.4
2526,1.5,1.1,1.1
2531,2.5,3.0,1.1
2532,3.1,3.8,1.8
2533,3.1,3.6,1.3
2541,3.3,4.3,1.3
2542,2.5,4.3,2.5
2543,1.8,4.7,2.0
2544,1.8,4.7,1.7
2545,3.1,4.5,0.9
2546,3.5,3.3,1.0
2547,3.9,3.5,1.5
2548,2.8,4.5,3.7
2551,3.4,5.2,3.0
2552,2.8,5.2,2.2
2553,2.5,5.8,3.7
2554,4.6,4.5,4.4
2555,4.1,4.4,3.2
2561,3.6,1.8,0.8
2562,3.5,1.9,0.6
2563,4.1,2.2,1.2
2564,4.6,3.3,2.2
2565,4.1,2.1,1.8
2566,4.2,2.3,2.5
2571,2.9,1.9,1.2
2572,2.4,1.9,1.6
2573,3.1,2.3,1.5
2574,3.6,2.8,1.6
2581,2.7,1.0,1.0
2582,2.2,0.8,0.7
2583,3.0,1.6,0.9
2584,1.7,0.9,1.0
2585,1.2,0.6,1.2
2586,1.0,0.5,0.6
2587,0.8,0.8,1.0
2591,4.8,3.0,1.0
2592,4.3,2.4,0.7
2593,3.2,1.3,1.6
2594,4.3,1.7,1.2
2595,2.6,0.8,1.6
2596,2.2,1.3,1.6
2597,2.0,2.0,2.4
2611,1.7,0.5,0.5
2612,2.6,0.9,1.1
2613,1.6,1.1,1.4
2614,2.8,2.3,2.6
2616,3.6,1.9,2.3
2622,3.3,4.2,4.0
2623,2.6,3.5,3.4
2624,1.2,2.1,2.0
2625,2.3,3.0,2.9
2626,3.2,4.2,4.1
2627,0.5,1.2,1.1
2628,2.3,0.7,1.4
2629,4.2,2.8,3.3
2631,5.4,5.2,5.5
2632,5.2,5.2,5.3
2635,3.1,3.0,3.4
2636,5.5,5.7,5.8
2641,7.1,5.3,6.2
2642,8.0,6.8,7.7
2643,7.8,6.8,7.7
2645,4.0,2.2,3.1
2651,5.6,7.1,8.1
2652,6.0,7.7,8.5
2661,4.6,6.5,8.3
2662,4.8,6.4,8.1
2665,2.9,8.2,8.7
2671,5.5,4.0,1.1
2672,6.4,3.5,1.2
2673,5.3,4.7,1.6
2675,5.0,1.9,3.1
2676,3.1,6.0,4.3
2678,6.3,5.4,5.1
2681,2.5,6.6,5.2
2684,2.5,7.4,5.8
2685,3.9,3.4,4.5
2691,2.6,4.7,4.2
2692,2.0,5.0,4.7
2693,3.0,5.0,4.0
2694,1.7,5.7,4.3
2711,2.7,1.0,0.6
2712,2.3,1.1,1.9
2713,2.7,1.0,1.6
2715,1.5,2.1,2.1
2716,1.4,3.1,1.5
2717,1.9,2.9,1.0
2718,4.0,2.9,3.9
2719,4.3,3.4,4.1
2721,3.2,4.4,4.7
2722,1.9,1.3,1.7
2723,2.4,2.3,2.5
2724,2.8,2.5,1.9
2725,4.1,3.1,2.2
2726,2.8,2.3,1.3
2727,3.6,3.4,2.5
2728,3.9,4.0,3.6
2729,3.0,4.1,4.3
2731,5.0,5.4,5.6
2735,6.6,7.0,7.2
2741,4.3,4.7,4.8
2742,5.2,5.5,4.7
2743,5.3,6.5,5.9
2751,6.2,7.4,7.6
2752,6.9,8.1,8.3
2761,8.9,10.7,10.5
2771,7.6,2.1,1.8
2801,2.9,0.6,0.6
2802,3.0,1.2,0.9
2803,1.2,2.4,2.1
2804,2.3,2.9,2.6
2805,3.0,1.8,1.4
2806,3.6,1.4,1.1
2807,5.4,2.7,2.9
2808,4.5,1.6,1.8
2809,4.5,3.4,3.0
2811,5.0,4.7,4.5
2821,9.6,5.3,6.9
2825,13.8,10.3,11.3
2831,6.4,4.7,4.4
2841,6.6,5.0,4.7
2851,8.4,0.9,5.8
